date,wan_dis,wan_b1,sm_dis,sm_b1,gm_dis,gm_b1,ra_dis,ra_b1,wind_dm,wind_b1,wind_dir_dm,wind_dir_b1,par_dm,par_b1,up_dm,up_b1
2018-02-13,249,348.6,255.8631820590793,610.8766984956209,449.0555384615385,628.6777538461539,406.9349464882934,850.5785080975811,7.356833333333333,3.3401944444444442,151.20375,98.55254166666667,0.08484229933333333,0.6317720783333333,21.2318604075,10.115073083333334
2018-02-14,221,354.4,233.5587396615765,580.4691251566331,398.5593333333333,639.1376820512821,275.2097183892394,779.4673067375587,2.8358333333333334,4.69575,129.40445833333334,115.26045833333333,0.4389914180416667,0.4814879940972222,87.604002500000007,11.649218935833334
2018-02-15,195,349.4,213.66321088154757,501.2650760967378,351.6700000000001,630.1205025641026,81.87517482318553,548.8584530977118,5.37125,4.179680555555556,131.48708333333335,148.10981944444444,0.20750307916666666,0.40078590844444445,39.121854,51.899148852500005
2018-02-16,175,334.2,204.5800458238714,455.66978317477924,315.60128205128206,602.7082769230769,123.73996683176104,446.22290628406745,4.204125,5.187972222222222,169.66,137.36509722222223,0.5289304392916667,0.24377893218055557,10.3635721,49.31923896916667
2018-02-17,159,318.4,200.26303967078735,435.42495920928104,286.7463076923077,574.2139897435898,120.69914893149306,412.08166030314135,7.175583333333333,4.137069444444444,127.02979166666667,143.51718055555557,0.56241686175,0.3918083121666667,145.6774047,45.6964762
2018-02-18,144,299.8,180.3794645297807,379.80480232198374,259.6947692307693,540.6700820512821,79.07698288857142,269.17219709074976,10.468958333333333,5.583652777777778,20.184166666666666,142.725625,0.8225507035416667,0.43295012673611116,608.2147225,65.05427693333334
2018-02-19,129,265.6,166.7766050060975,278.3825324311476,232.6432307692308,478.9925743589744,34.48623514617487,137.80012585826054,3.2615416666666666,7.2828888888888885,97.771,105.62465277777778,0.524959395375,0.6379660015277778,121.27542375,254.75189976666667
2018-02-20,118,230.8,161.6288139216851,239.53726980131657,212.80543589743587,416.23300512820515,22.892340161832337,126.44766745078887,3.2294583333333335,6.968694444444444,75.5925,81.66165277777777,0.8386923060833333,0.6366423202222222,3.51010045,291.7225169833333
2018-02-21,109,202,157.96375329119928,218.71319775387116,196.57451282051284,364.2940512820513,17.90205522697118,121.85330221692863,3.507416666666667,5.653319444444445,109.34304166666666,64.5158888888889,0.41526034804166667,0.7287341350000001,38.529378,244.33341556666667
2018-02-22,101,178.7,152.22368380716577,204.14357852422546,182.14702564102564,322.2739948717949,14.882781053359226,119.15046002867192,3.458458333333333,3.332805555555556,117.17416666666666,94.23551388888889,0.8552216323333334,0.5929706831666667,57.95546925,54.438300733333335
2018-02-23,95.8,160,151.0788463432377,192.69005386527905,172.76916447800855,288.5497435897436,50.5311514594269,117.76993499408815,8.827166666666667,3.3984444444444444,210.27,100.70323611111111,0.45415785170833334,0.7030580954861111,62.809077,33.33164923333334
2018-02-24,93.6,144.68,148.50693429925735,182.2116202936949,168.8015972481752,260.9211061913906,220.92155298901136,82.1295554912015,6.939875,5.264347222222222,169.16916666666665,145.5957361111111,0.322435229,0.5748799440277778,155.72308925000002,53.09797475
2018-02-25,93.2,131.94,149.07139636232586,173.70643975746296,168.08022013737607,237.9453325828748,270.42857612983937,76.70073895117869,6.221875,6.4085,187.50083333333333,165.53777777777776,0.474588559,0.5439382376805556,193.8557825,92.16254516666667
2018-02-26,89.4,121.76,142.63964568138465,167.2472583055408,161.22717198259403,219.5863545966124,182.31451116218597,95.55607908184408,6.141291666666667,7.329638888888889,153.09166666666667,188.98,0.6040115069166667,0.41706054656944447,63.39741,137.46264958333333
2018-02-27,86.1,113.2,141.3834986683735,161.05321829129213,155.27582801740598,204.1489435897436,325.67593567308154,101.41353351488657,6.903041666666667,6.434347222222222,247.07916666666668,169.92055555555555,0.48618209716666666,0.46701176497222224,62.81275925,137.65876058333333
2018-02-28,83.7,105.91,142.96557640782805,155.16526419105074,150.94757911173505,191.00189562225341,481.2592143968246,121.91121218904541,9.532375,6.422069444444444,153.05416666666667,195.89055555555555,0.3278525787916667,0.5215940543611112,-44.19426175,106.68865058333333
2018-03-01,84.2,99.88,146.67434149096167,151.42387537885548,151.849297060453,180.12717661035,197.8015856282317,162.12943533987072,3.458875,7.525569444444445,100.96341666666667,184.40833333333333,0.9067002124583333,0.47268206095833337,-10.94161075,27.33863583333333
2018-03-02,78.5,95.4,142.56008827277907,149.4136490273419,141.56971794871794,172.0477832394722,77.81165920651772,178.46097038807642,5.68175,6.631430555555555,32.16583333333333,167.03225,1.008008702375,0.5735782961388889,38.736718975,2.5589622499999987
2018-03-03,74.3,91.45,133.40539203860965,147.50677646245128,133.99529268313677,164.92421144460042,42.57145157736369,183.95290229254496,4.545708333333334,6.224333333333333,93.17129166666666,95.39447222222222,1.025089955125,0.747520497875,33.17437325,-5.466384508333333
2018-03-04,71.5,87.98,130.6943556633626,145.05094033719232,128.94566666666668,158.66628943086283,26.988563989309142,186.4198419275842,3.117,4.562111111111111,105.43220833333334,75.43351388888888,1.0180485575833333,0.9799329566527777,5.853334575,20.32316049166667
2018-03-05,70.2,85.03,126.80668522266966,142.898007522812,126.60119449635044,153.34615353342693,21.22973089777723,187.6304202211792,2.3725833333333335,4.448152777777778,147.988125,76.92311111111111,0.418051818875,1.0170490716944445,-0.8047361399999999,25.9214756
2018-03-06,66.8,82.47,125.06955897182854,140.4707914107552,120.46952345236753,148.7293565352611,18.46517826219721,184.70027816501423,3.3457083333333335,3.3450972222222224,127.45875,115.53054166666666,0.5869672482916667,0.8203967771944444,-7.78464245,12.740990561666667
2018-03-07,64.7,79.79,124.12346893701192,138.12705387801233,116.682297060453,143.89614915568035,19.68507399187237,164.45464069233282,3.0443333333333333,2.9450972222222225,99.01716666666667,126.95969444444444,0.9803301521666666,0.6743558749166667,-4.668105925,-0.9120146716666666
