measurementTime,year,month,waterYear,sw_xCO2_QL,sw_xCO2_QC,sw_xCO2_UQL,sw_xCO2,atm_xCO2_QL,atm_xCO2_QC,atm_xCO2_UQL,atm_xCO2
5/10/2018 22:00,2018,May,2017-2018,1,,2,243.3,1,,2,422.08
5/10/2018 23:00,2018,May,2017-2018,1,,2,248.23,1,,2,424.83
5/11/2018 0:00,2018,May,2017-2018,1,,2,247.81,1,,2,432.03
5/11/2018 1:00,2018,May,2017-2018,1,,2,255.49,1,,2,422.58
5/11/2018 2:00,2018,May,2017-2018,1,,2,260.13,1,,2,425.46
5/11/2018 3:00,2018,May,2017-2018,1,,2,258.24,1,,2,423.39
5/11/2018 4:00,2018,May,2017-2018,1,,2,268.13,1,,2,425.81
5/11/2018 5:00,2018,May,2017-2018,1,,2,273.98,1,,2,423.93
5/11/2018 6:00,2018,May,2017-2018,1,,2,261.87,1,,2,424.39
5/11/2018 7:00,2018,May,2017-2018,1,,2,267.24,1,,2,427.88
5/11/2018 8:00,2018,May,2017-2018,1,,2,269.28,1,,2,424.34
5/11/2018 9:00,2018,May,2017-2018,1,,2,266.18,1,,2,424.46
5/11/2018 10:00,2018,May,2017-2018,1,,2,264.03,1,,2,422.46
5/11/2018 11:00,2018,May,2017-2018,1,,2,264.48,1,,2,422.02
5/11/2018 12:00,2018,May,2017-2018,1,,2,245.2,1,,2,421.53
5/11/2018 13:00,2018,May,2017-2018,1,,2,221.88,1,,2,421.57
5/11/2018 14:00,2018,May,2017-2018,1,,2,227.21,1,,2,420.86
5/11/2018 15:00,2018,May,2017-2018,1,,2,248.35,1,,2,422.03
5/11/2018 16:00,2018,May,2017-2018,1,,2,255.79,1,,2,421.62
5/11/2018 17:00,2018,May,2017-2018,1,,2,257.38,1,,2,420.59
5/11/2018 18:00,2018,May,2017-2018,1,,2,255.41,1,,2,420.42
5/11/2018 19:00,2018,May,2017-2018,1,,2,253.85,1,,2,421.15
5/11/2018 20:00,2018,May,2017-2018,1,,2,255.17,1,,2,422.66
5/11/2018 21:00,2018,May,2017-2018,1,,2,259.27,1,,2,422.21
5/11/2018 22:00,2018,May,2017-2018,1,,2,242.61,1,,2,422.88
5/11/2018 23:00,2018,May,2017-2018,1,,2,223.24,1,,2,422.57
5/12/2018 0:00,2018,May,2017-2018,1,,2,227.26,1,,2,422.97
5/12/2018 1:00,2018,May,2017-2018,1,,2,227.35,1,,2,426.19
5/12/2018 2:00,2018,May,2017-2018,1,,2,231.35,1,,2,425.1
5/12/2018 3:00,2018,May,2017-2018,1,,2,231.76,1,,2,424.17
5/12/2018 4:00,2018,May,2017-2018,1,,2,226.29,1,,2,432.8
5/12/2018 5:00,2018,May,2017-2018,1,,2,235.22,1,,2,434.01
5/12/2018 6:00,2018,May,2017-2018,1,,2,230.25,1,,2,426.7
5/12/2018 7:00,2018,May,2017-2018,1,,2,227.84,1,,2,427.31
5/12/2018 8:00,2018,May,2017-2018,1,,2,219.21,1,,2,426.25
5/12/2018 9:00,2018,May,2017-2018,1,,2,220.41,1,,2,423.66
5/12/2018 10:00,2018,May,2017-2018,1,,2,218.62,1,,2,421.77
5/12/2018 11:00,2018,May,2017-2018,1,,2,220.14,1,,2,422.74
5/12/2018 12:00,2018,May,2017-2018,1,,2,218.8,1,,2,420.22
5/12/2018 13:00,2018,May,2017-2018,1,,2,216.25,1,,2,421.54
5/12/2018 14:00,2018,May,2017-2018,1,,2,220.06,1,,2,419.7
5/12/2018 15:00,2018,May,2017-2018,1,,2,220.73,1,,2,421.16
5/12/2018 16:00,2018,May,2017-2018,1,,2,218.31,1,,2,420.56
5/12/2018 17:00,2018,May,2017-2018,1,,2,219.02,1,,2,418.88
5/12/2018 18:00,2018,May,2017-2018,1,,2,219.59,1,,2,420.56
5/12/2018 19:00,2018,May,2017-2018,1,,2,218.41,1,,2,420.89
5/12/2018 20:00,2018,May,2017-2018,1,,2,218.29,1,,2,422.21
5/12/2018 21:00,2018,May,2017-2018,1,,2,219.88,1,,2,424.84
5/12/2018 22:00,2018,May,2017-2018,1,,2,220.16,1,,2,424.25
