action,event_pk,date,work_area,organization,survey,sampling_bout,site_id,lat,long,secchi_type,line_out_depth,hakai_id,row_flag,quality_level,comments,quality_log
,523745,2019-06-25,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,999,QU39_2019-06-25_3,Collected,Technicianmr,,1: Secchi QCd by BF.    Secchi was not collected.
,523925,2019-07-03,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,8.5,QU39_2019-07-03_3,Collected,Technicianm,,1: Location is wrong2: secchi qcd by cm
,524426,2019-07-06,CALVERT,HAKAI,RVRS,4,DFO2,51.5208000000001,-127.5583,,5,DFO2_2019-07-06_4,Collected,Raw,,
,524192,2019-07-07,CALVERT,HAKAI,KWY;QCS_V1,1,QCS01,51.705,-128.2384,,7,QCS01_2019-07-07_1,Collected,Raw,,
,1055364,2019-07-09,QUADRA,HAKAI,QOMA5,5,QU39,50.0307000000001,-125.0992,,7,QU39_2019-07-09_5,Collected,Technicianm,,1: secchi qcd by cm
,524431,2019-07-10,CALVERT,HAKAI,KWAK,2,KC10,51.6505000000001,-127.9516,,5.5,KC10_2019-07-10_2,Collected,Raw,,
,2247586,2019-07-11,QUADRA,HAKAI,MFW,5,QU39,50.0307000000001,-125.0992,,10.5,QU39_2019-07-11_5,Collected,Raw,,
,2247603,2019-07-15,QUADRA,HAKAI,MFW,4,QU39,50.0307000000001,-125.0992,,7,QU39_2019-07-15_4,Collected,Raw,,
,2247598,2019-07-15,QUADRA,HAKAI,MFW,1,QU39,50.0307000000001,-125.0992,,8,QU39_2019-07-15_1,Collected,Raw,,
,525337,2019-07-18,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,8,QU39_2019-07-18_2,Collected,Technicianm,,1: secchi qcd by cm
,2247616,2019-07-18,QUADRA,HAKAI,MFW,10,QU39,50.0307000000001,-125.0992,,5.5,QU39_2019-07-18_10,Collected,Raw,,
,2247614,2019-07-18,QUADRA,HAKAI,MFW,7,QU39,50.0307000000001,-125.0992,,9,QU39_2019-07-18_7,Collected,Raw,,
,2247613,2019-07-18,QUADRA,HAKAI,MFW,6,QU39,50.0307000000001,-125.0992,,9,QU39_2019-07-18_6,Collected,Raw,,
,526661,2019-07-24,QUADRA,HAKAI,QRAFT1;QOMA5,2,QU39,50.0307000000001,-125.0992,,6.5,QU39_2019-07-24_2,Collected,Technicianm,,1: secchi qcd by cm
,527945,2019-07-30,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,11.5,QU39_2019-07-30_2,Collected,Technicianm,,1: secchi qcd by cm
,1059118,2019-08-03,CALVERT,HAKAI,KWAK,2,KC10,51.6505000000001,-127.9516,,9.5,KC10_2019-08-03_2,Collected,Technicianm,,1: Secchi QCd by CM
,1058429,2019-08-05,CALVERT,HAKAI,RVRS,2,DFO2,51.5208000000001,-127.5583,,4.5,DFO2_2019-08-05_2,Collected,Technicianm,,1: Secchi QCd by CM
,1059160,2019-08-06,CALVERT,HAKAI,QCS_V1,2,QCS01,51.705,-128.2384,,5.5,QCS01_2019-08-06_2,Collected,Technicianm,,1: Secchi QCd by CM
,1059386,2019-08-07,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,5,QU39_2019-08-07_3,Collected,Technicianm,,1: Secchi metadata QC'd by EM
,1599286,2019-08-15,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,8,QU39_2019-08-15_3,Collected,Technicianm,,1: Secchi metadata QC'd by EM
,1598326,2019-08-20,QUADRA,HAKAI,QOMA5;QRAFT,1,QU39,50.0307000000001,-125.0992,,6,QU39_2019-08-20_1,Collected,Technicianm,,1: Secchi metadata QC'd by EM
,1599194,2019-08-29,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,11,QU39_2019-08-29_3,Collected,Technicianm,,1: Secchi metadata QC'd by EM
,1599362,2019-08-31,CALVERT,HAKAI,QCS_V1,2,QCS01,51.705,-128.2384,,7.5,QCS01_2019-08-31_2,Collected,Technicianm,,1: Sample metadata QC'd by CO
,1599377,2019-09-01,CALVERT,HAKAI,KWAK,3,KC10,51.6505000000001,-127.9516,,7.5,KC10_2019-09-01_3,Collected,Technicianm,,1: Sample metadata QC'd by CO
,1599491,2019-09-02,CALVERT,HAKAI,RVRS,2,DFO2,51.5208000000001,-127.5583,,3,DFO2_2019-09-02_2,Collected,Technicianm,,1: Sample metadata QC'd by CO
,3400214,2019-09-04,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,4.5,QU39_2019-09-04_2,Collected,Technicianm,,
,1600779,2019-09-04,QUADRA,HAKAI,QOMA5,1,QU39,50.0307000000001,-125.0992,,4.5,QU39_2019-09-04_1,Collected,Technicianm,,1: Event metadata QCd by EJ2: Secchi metadata QC'd by EM
,1615536,2019-09-19,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,7.5,QU39_2019-09-19_2,Collected,Technicianm,,1: Secchi metadata QC'd by EM
,1615710,2019-09-24,QUADRA,HAKAI,QOMA5,6,QU39,50.0307000000001,-125.0992,,7,QU39_2019-09-24_6,Collected,Technicianm,,1: Secchi metadata QC'd by EM
,1621559,2019-10-01,CALVERT,HAKAI,KWAK,2,KC10,51.6505000000001,-127.9516,,9.5,KC10_2019-10-01_2,Collected,Technicianm,,1: Secchi QC'd by EM.
,1628177,2019-10-04,CALVERT,HAKAI,RVRS,2,DFO2,51.5208000000001,-127.5583,,7,DFO2_2019-10-04_2,Collected,Technicianm,,1: Secchi QC'd by EM.
,1628192,2019-10-05,CALVERT,HAKAI,QCS_V1,2,QCS01,51.705,-128.2384,,12,QCS01_2019-10-05_2,Collected,Technicianm,,1: Secchi QC'd by EM. Paper log sheet said 11; CTD form said 12
,1637875,2019-10-09,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,6,QU39_2019-10-09_2,Collected,Technicianm,,1: Secchi QCd by cm
,1637852,2019-10-18,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,11.5,QU39_2019-10-18_2,Collected,Technicianm,,1: Secchi QCd by cm
,1638402,2019-10-30,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,12,QU39_2019-10-30_2,Collected,Technicianm,,1: Secchi QCd by cm
,1638417,2019-11-05,QUADRA,HAKAI,QOMA5,4,QU39,50.0307000000001,-125.0992,,6.5,QU39_2019-11-05_4,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,1652690,2019-11-13,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,11.5,QU39_2019-11-13_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,1653203,2019-11-20,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,15.5,QU39_2019-11-20_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,1659673,2019-11-25,CALVERT,HAKAI,RVRS,2,DFO2,51.5208000000001,-127.5583,,2,DFO2_2019-11-25_2,Collected,Technicianm,,1: Secchi QCd by CM
,1661624,2019-11-26,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,15,QU39_2019-11-26_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,1659695,2019-11-26,CALVERT,HAKAI,KWAK,3,KC10,51.6505000000001,-127.9516,,11.5,KC10_2019-11-26_3,Collected,Technicianm,,1: Secchi QCd by CM
,1664127,2019-11-28,CALVERT,HAKAI,QCS_V1,2,QCS01,51.705,-128.2384,,13,QCS01_2019-11-28_2,Collected,Technicianm,,1: Secchi QCd by CM
,1665064,2019-12-03,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,13,QU39_2019-12-03_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,2247201,2019-12-13,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,18.5,QU39_2019-12-13_2,Collected,Technicianm,,1: secchi metadata QCd by EJ
,2253632,2020-01-08,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,14,QU39_2020-01-08_2,Collected,Technicianmr,,1: Secchi metadata QCd by JB
,2254025,2020-01-14,CALVERT,HAKAI,KWAK,2,KC10,51.6505000000001,-127.9516,,15,KC10_2020-01-14_2,Collected,Raw,,
,3398940,2020-01-28,QUADRA,HAKAI,QOMA1,3,QU39,50.0307000000001,-125.0992,,16,QU39_2020-01-28_3,Collected,Technicianmr,,1: Secchi metadata QCd by JB
,3403477,2020-02-05,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,15.5,QU39_2020-02-05_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,3400854,2020-02-09,CALVERT,HAKAI,QCS_V1,1,QCS01,51.705,-128.2384,,12.5,QCS01_2020-02-09_1,Collected,Technicianm,,1: secchi QCd by CM
,3401320,2020-02-11,CALVERT,HAKAI,KWAK,2,KC10,51.6505000000001,-127.9516,,13,KC10_2020-02-11_2,Collected,Technicianm,,1: secchi QCd by CM
,3401731,2020-02-12,CALVERT,HAKAI,RVRS,2,DFO2,51.5208000000001,-127.5583,,11.5,DFO2_2020-02-12_2,Collected,Technicianm,,1: secchi QCd by CM
,3403151,2020-02-18,QUADRA,HAKAI,QOMA1;QOMA5,2,QU39,50.0307000000001,-125.0992,,14,QU39_2020-02-18_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,3404051,2020-02-26,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,11,QU39_2020-02-26_2,Collected,Technicianm,,1: Secchi metadata QCd by EJ
,3980389,2020-03-06,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,13.5,QU39_2020-03-06_2,Collected,Technicianm,,1: secchi qcd by cm
,3984433,2020-03-12,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,13,QU39_2020-03-12_2,Collected,Technicianm,,1: secchi qcd by cm
,4571862,2020-03-18,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,6.5,QU39_2020-03-18_2,Collected,Technicianm,,1: secchi qcd by cm
,4571852,2020-04-17,QUADRA,HAKAI,QOMA1,1,QU39,50.0307000000001,-125.0992,,14.5,QU39_2020-04-17_1,Collected,Technicianm,,1: Secchi Metadata QCd by FM
,4589221,2020-04-30,CALVERT,HAKAI,KWAK,3,KC10,51.6505000000001,-127.9516,,4.5,KC10_2020-04-30_3,Collected,Technicianm,,
,4589198,2020-05-01,CALVERT,HAKAI,QCS_V1,2,QCS01,51.705,-128.2384,,8,QCS01_2020-05-01_2,Collected,Technicianm,,
,4594062,2020-05-04,CALVERT,HAKAI,RVRS,2,DFO2,51.5208000000001,-127.5583,,6,DFO2_2020-05-04_2,Collected,Technicianm,,
,4600072,2020-05-14,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,5.5,QU39_2020-05-14_2,Collected,Technicianm,,1: Secchi metadata QCd by JB
,7024048,2020-05-26,QUADRA,HAKAI,QOMA5;QOMA1,4,QU39,50.0307000000001,-125.0992,,13,QU39_2020-05-26_4,Collected,Technicianm,,1: Secchi metadata QCd by JB
,7024058,2020-06-04,QUADRA,HAKAI,QOMA5,3,QU39,50.0307000000001,-125.0992,,7.5,QU39_2020-06-04_3,Collected,Technicianm,,1: Secchi metadata QCd by JB
,5201644,2020-06-04,CALVERT,HAKAI,KWAK,2,KC10,51.6505000000001,-127.9516,,12,KC10_2020-06-04_2,Collected,Technicianm,,
,5201729,2020-06-06,CALVERT,HAKAI,RVRS,2,DFO2,51.5208000000001,-127.5583,,6.5,DFO2_2020-06-06_2,Collected,Technicianm,,
,5201918,2020-06-08,CALVERT,HAKAI,QCS_V1,1,QCS01,51.705,-128.2384,,6.5,QCS01_2020-06-08_1,Collected,Technicianm,,
,5202677,2020-06-11,QUADRA,HAKAI,QOMA1,2,QU39,50.0307000000001,-125.0992,,8,QU39_2020-06-11_2,Collected,Technicianm,,1: Event metadata QC'd by EM.2: Secchi metadata QCd by JB
,5204161,2020-06-17,QUADRA,HAKAI,QOMA5,2,QU39,50.0307000000001,-125.0992,,8,QU39_2020-06-17_2,Collected,Technicianm,,1: Secchi metadata QCd by JB
